temperature_C,pressure_atm,concentration_mol_L,pH,exotherm_kJ_mol,decomp_temp_C,viscosity_cP,thermal_runaway,pressure_buildup,vapor_emission,corrosion,decomposition,risk_score,severity
208.0,13.13,0.18,2.2,110.6,229.0,24.26,1,1,0,0,1,51.3,high
127.1,17.17,0.2153,2.23,61.3,242.2,45.06,0,1,0,0,0,56.1,high
217.7,2.28,0.0131,1.32,136.7,224.1,32.67,1,0,0,1,1,41.9,medium
189.7,3.01,0.3625,3.66,179.8,304.1,33.63,0,0,1,1,0,47.9,medium
161.6,11.75,0.2126,1.13,79.3,219.0,8.3,1,1,1,1,0,56.3,high
221.5,5.15,0.0605,2.26,131.5,251.3,22.94,1,0,0,0,1,49.3,medium
159.8,12.62,0.4846,3.64,79.8,290.3,20.34,0,1,1,1,0,57.4,high
257.1,5.08,0.3909,6.72,162.7,233.5,39.26,1,0,1,1,1,53.9,high
235.1,3.21,0.3658,6.76,105.5,289.2,7.32,1,0,1,1,1,45.6,medium
189.8,11.37,0.4794,5.33,81.1,268.5,27.19,0,0,1,0,1,66.2,high
270.5,17.38,0.2097,3.03,95.6,372.1,45.61,1,1,1,1,0,67.8,high
258.9,14.02,0.3621,6.12,36.4,359.0,44.68,1,1,1,1,0,50.5,high
187.6,16.56,0.111,6.19,175.9,398.6,42.69,1,1,0,0,0,60.4,high
76.4,6.06,0.3516,6.42,192.5,305.8,19.06,0,0,0,1,0,40.1,medium
195.8,17.83,0.0169,4.66,105.9,315.1,47.08,1,1,0,0,0,63.0,high
145.3,8.16,0.0719,1.81,59.8,389.3,40.36,0,0,0,1,0,21.2,low
189.6,17.2,0.2184,1.09,139.6,279.9,42.63,1,1,1,1,0,64.7,high
215.3,9.95,0.0159,6.45,101.4,311.1,46.65,1,1,0,0,0,49.1,medium
214.8,6.09,0.2364,0.86,65.4,275.8,46.88,1,0,1,0,0,39.5,medium
221.6,5.94,0.2662,2.42,26.9,309.2,12.38,1,0,1,0,0,39.7,medium
223.0,11.79,0.3146,3.67,180.1,216.2,6.82,1,1,1,1,1,70.1,high
86.2,2.5,0.0592,0.64,163.4,356.8,34.7,0,0,0,1,0,22.0,low
106.0,18.67,0.0987,6.39,169.2,397.1,28.38,0,1,0,0,1,46.5,medium
211.3,6.16,0.3105,2.37,99.2,213.1,16.71,1,0,1,1,1,51.2,high
158.0,7.38,0.3325,0.69,155.6,360.2,34.38,0,0,1,1,0,44.6,medium
243.1,5.43,0.0227,6.96,124.6,248.3,3.57,1,0,0,0,0,47.4,medium
90.0,1.06,0.2748,2.52,87.5,239.5,2.84,0,0,0,0,0,30.5,medium
106.0,14.16,0.3946,6.2,171.7,338.7,18.04,0,1,0,0,0,51.1,high
194.0,12.22,0.0439,3.45,199.8,208.8,10.1,1,1,0,0,1,62.6,high
180.2,16.38,0.2125,4.81,181.9,292.6,36.07,0,1,1,1,0,66.4,high
123.9,1.78,0.17,2.07,159.7,200.3,47.43,0,0,0,0,0,45.4,medium
158.0,18.64,0.4577,3.77,154.6,310.9,33.25,0,1,1,0,0,60.8,high
68.4,7.29,0.101,2.17,137.0,292.4,32.91,0,0,0,0,0,32.6,medium
68.9,18.35,0.166,6.68,173.7,383.1,0.83,0,1,0,0,0,54.1,high
82.8,3.04,0.4502,0.9,108.8,344.1,25.86,1,0,0,0,0,26.6,low
198.4,15.13,0.172,2.29,52.7,225.2,40.95,0,1,0,0,1,54.6,high
267.3,12.01,0.2704,6.31,158.2,270.9,32.88,1,1,1,0,0,68.0,high
122.5,7.81,0.0262,3.62,185.5,386.3,11.78,0,0,1,0,0,28.7,low
68.1,2.5,0.4926,4.4,81.4,345.1,42.5,0,0,0,1,0,27.5,low
230.1,12.49,0.4142,4.74,160.9,318.9,48.24,1,1,1,1,0,67.7,high
265.3,1.5,0.3209,0.96,69.3,311.8,14.31,1,0,1,1,1,44.0,medium
93.2,10.52,0.0398,0.62,189.7,279.6,10.75,0,1,0,1,0,44.4,medium
152.6,12.48,0.0467,6.6,143.0,317.0,17.26,0,1,0,0,0,50.0,medium
98.1,14.92,0.277,2.26,122.5,354.3,3.63,1,0,0,0,0,52.9,high
85.5,19.84,0.1497,2.97,160.4,225.5,43.73,0,1,0,0,0,61.6,high
215.6,5.94,0.3152,4.93,166.4,394.0,46.5,1,0,1,1,0,48.4,medium
292.2,7.13,0.3031,2.04,180.6,247.9,31.85,1,1,0,1,1,60.7,high
222.8,7.48,0.4209,5.26,182.2,289.5,38.33,1,1,1,1,0,65.0,high
296.4,14.9,0.1479,3.48,29.5,204.5,33.6,1,1,0,0,1,55.6,high
164.3,18.7,0.2932,6.07,42.1,310.1,19.18,0,0,1,0,1,50.6,high
275.5,19.51,0.3909,2.31,168.7,276.4,31.79,1,1,1,1,1,82.3,critical
109.2,18.97,0.2505,1.82,190.3,250.0,41.9,0,1,0,1,0,70.0,high
88.3,17.71,0.417,5.91,75.4,397.1,40.59,1,1,0,1,0,53.4,high
228.6,19.83,0.0743,2.62,21.5,285.6,4.51,1,1,0,0,0,55.9,high
149.1,8.14,0.3696,3.18,78.1,282.9,23.4,0,0,0,1,0,42.1,medium
136.2,19.02,0.4721,5.66,88.9,292.6,20.17,0,1,0,1,0,53.8,high
221.1,15.46,0.1726,4.63,157.0,223.2,37.72,1,1,0,0,1,77.0,critical
140.0,4.2,0.1895,3.37,28.6,278.6,25.32,0,0,0,0,0,29.0,low
197.4,1.86,0.0509,2.12,58.3,267.3,17.81,1,0,0,0,0,37.3,medium
131.9,5.08,0.3243,5.47,180.9,293.0,35.46,0,0,0,1,1,49.1,medium
248.1,15.8,0.2807,1.67,47.9,371.3,23.94,0,1,1,1,1,53.6,high
135.0,13.0,0.0298,6.53,156.7,238.6,13.2,1,1,1,0,0,49.4,medium
188.4,5.26,0.3786,1.48,85.0,321.5,44.58,1,0,1,1,0,37.5,medium
65.6,15.1,0.4163,5.73,139.3,207.5,6.1,0,1,0,1,1,60.5,high
250.0,3.69,0.4545,3.26,33.3,263.4,1.4,1,0,1,1,1,46.5,medium
208.9,16.61,0.2774,1.71,71.6,294.5,7.62,1,1,1,1,0,65.5,high
106.1,16.09,0.2318,3.12,96.5,214.9,8.6,0,1,0,0,0,49.7,medium
111.7,19.48,0.4393,1.94,174.3,308.8,27.13,1,1,0,0,0,63.7,high
123.0,3.86,0.2054,1.38,121.4,262.1,31.43,0,0,0,1,0,32.9,medium
198.4,18.23,0.3312,2.05,28.1,398.6,22.71,0,1,1,1,0,50.6,high
191.6,7.48,0.3115,6.14,164.3,326.2,10.61,1,0,1,1,0,47.7,medium
125.7,8.91,0.1924,1.19,29.8,248.8,7.04,0,0,1,1,0,38.2,medium
226.6,9.9,0.0526,6.82,188.2,220.5,24.86,1,0,0,0,1,62.2,high
273.4,12.91,0.0205,0.53,58.1,208.1,28.49,1,1,0,1,1,64.3,high
70.4,19.9,0.2198,4.78,107.8,218.2,15.55,0,1,0,0,0,46.6,medium
160.1,12.4,0.2458,6.07,33.0,336.0,11.41,0,1,1,0,0,48.2,medium
202.4,18.61,0.4131,6.57,121.1,371.0,4.49,1,1,1,1,0,60.1,high
200.7,5.85,0.2131,1.44,109.5,231.3,1.8,1,0,1,1,1,50.6,high
64.7,8.57,0.1478,5.04,93.8,280.4,5.73,0,0,0,0,0,28.3,low
110.5,10.59,0.2364,1.2,26.4,270.8,37.23,0,0,0,1,0,37.5,medium
74.8,7.14,0.1266,2.79,178.2,328.9,17.53,0,1,0,0,0,26.9,low
196.6,19.56,0.0548,5.26,164.5,236.5,1.86,1,0,0,1,1,64.4,high
214.9,14.79,0.0654,2.75,133.9,390.7,25.65,1,0,0,0,0,55.6,high
98.3,10.1,0.1664,2.54,123.0,345.7,27.04,1,1,0,0,1,48.9,medium
139.9,15.27,0.0162,1.25,145.1,391.0,21.72,0,1,0,0,0,37.6,medium
139.2,9.88,0.1179,0.93,45.9,255.5,5.98,0,0,0,1,0,38.6,medium
256.8,1.33,0.3959,1.25,187.9,317.5,37.87,1,0,1,1,1,54.5,high
106.7,11.32,0.125,6.19,71.2,346.5,34.61,0,1,0,0,0,26.9,low
191.6,12.88,0.0643,0.57,138.2,342.2,20.04,1,1,0,1,0,46.9,medium
247.9,19.64,0.475,5.0,129.2,204.3,19.35,1,1,1,1,1,76.8,critical
259.1,1.78,0.315,5.5,134.6,399.7,8.22,1,0,1,1,0,50.2,high
220.0,10.73,0.0394,4.19,178.2,385.6,37.8,1,1,0,0,1,55.0,high
131.9,2.86,0.0405,5.25,73.3,224.0,30.18,0,0,0,0,0,24.9,low
257.5,3.83,0.3099,4.74,154.8,308.7,4.75,1,1,1,1,1,46.5,medium
238.1,12.6,0.2747,3.46,127.7,262.9,19.21,1,1,1,0,1,65.1,high
229.1,5.4,0.0435,2.99,33.7,375.8,45.23,0,0,0,0,0,33.8,medium
76.2,15.23,0.1199,6.62,94.5,339.5,22.89,0,1,0,0,0,48.8,medium
70.4,10.77,0.4652,6.82,170.8,244.7,16.58,0,1,0,1,0,50.9,high
226.9,5.15,0.2903,4.73,76.8,206.8,32.37,1,0,1,0,1,55.6,high
286.8,10.38,0.2258,1.78,106.8,258.3,10.55,1,1,1,1,1,64.9,high
245.7,1.02,0.1326,3.41,108.0,207.6,26.43,0,0,0,0,1,50.6,high
259.6,17.39,0.0755,3.73,131.2,228.3,33.64,1,0,0,0,1,70.9,high
190.8,1.24,0.2073,5.43,179.1,327.2,42.82,1,0,1,0,0,47.7,medium
133.1,1.13,0.462,4.84,51.2,349.0,34.78,1,0,0,0,0,19.5,low
222.7,12.62,0.0339,3.85,110.8,293.6,19.53,1,1,0,0,0,52.6,high
230.9,19.5,0.4956,4.92,96.4,320.1,38.51,1,0,1,1,0,66.7,high
222.1,17.26,0.1118,0.66,73.3,231.2,44.97,1,1,0,1,0,66.0,high
287.2,5.79,0.2103,5.55,185.5,263.4,24.15,1,0,1,0,1,58.8,high
148.1,4.74,0.0321,1.88,21.5,342.6,0.72,0,0,0,1,0,24.3,low
69.5,12.9,0.2965,4.77,42.0,273.0,44.11,0,1,0,0,0,42.0,medium
278.0,16.63,0.2469,1.24,152.0,269.8,8.69,0,1,1,1,1,75.1,critical
98.5,7.88,0.3367,1.24,67.4,238.8,6.75,0,0,0,0,0,40.1,medium
227.4,9.21,0.2759,0.73,150.2,319.0,15.73,0,1,1,1,0,63.4,high
269.6,3.19,0.2051,6.42,169.8,361.9,19.31,1,0,1,0,0,54.8,high
134.4,3.9,0.3715,4.43,65.8,293.9,40.07,0,0,0,1,0,33.6,medium
259.3,11.8,0.0223,2.85,54.5,223.1,19.76,1,1,0,0,1,46.7,medium
139.7,2.95,0.2751,5.62,46.2,367.7,2.92,0,0,0,0,0,31.4,medium
250.6,4.84,0.0658,4.57,56.0,214.3,31.98,1,0,0,1,1,41.1,medium
76.8,5.46,0.2236,4.53,68.1,294.3,33.73,0,0,0,0,0,28.5,low
217.3,9.43,0.3977,3.67,176.4,252.2,40.8,1,0,1,1,1,70.0,high
222.5,1.87,0.0798,0.55,158.6,387.3,20.24,1,0,0,1,0,41.4,medium
177.9,10.5,0.4685,2.18,20.3,347.5,4.76,1,1,1,1,0,42.1,medium
224.9,18.64,0.4454,1.21,177.3,313.3,27.88,1,0,1,0,0,74.3,high
281.6,1.46,0.2133,4.81,34.2,333.6,6.49,1,0,1,0,0,38.9,medium
236.1,12.99,0.0129,2.12,137.9,306.5,1.35,1,1,0,1,0,52.5,high
290.7,16.88,0.397,3.43,47.3,229.5,39.04,0,1,1,1,1,77.6,critical
167.7,6.94,0.4416,2.8,31.2,341.8,20.47,0,0,1,1,0,36.8,medium
186.8,3.5,0.0956,1.43,156.8,298.5,26.49,0,0,0,1,0,48.4,medium
123.3,1.82,0.4589,6.73,104.1,326.9,33.31,0,0,0,1,0,31.8,medium
296.5,13.23,0.4579,6.57,127.8,209.0,20.35,1,1,1,1,1,78.0,critical
73.2,11.49,0.2409,1.05,96.6,228.4,3.03,0,1,0,1,0,43.4,medium
146.1,5.36,0.401,5.88,32.1,317.9,13.01,0,0,0,1,0,35.7,medium
131.4,16.8,0.228,3.67,153.1,291.9,10.12,0,1,0,1,1,58.9,high
152.8,14.97,0.2864,5.53,167.7,245.4,48.88,0,1,1,0,0,64.4,high
280.3,6.25,0.1667,1.48,27.5,248.2,37.11,1,1,0,1,0,46.5,medium
148.3,15.31,0.0881,1.36,87.6,326.3,22.85,0,1,0,1,0,46.4,medium
280.1,5.65,0.3758,6.29,120.3,211.8,3.64,1,0,1,1,1,64.6,high
161.6,13.83,0.0107,6.34,128.9,286.9,6.23,0,1,0,0,0,45.1,medium
265.1,3.25,0.294,3.53,124.1,304.6,40.74,0,0,1,0,0,46.0,medium
185.2,14.15,0.4337,6.16,144.7,261.6,47.3,1,1,0,1,0,65.4,high
134.7,5.54,0.1184,4.84,194.0,364.1,2.05,0,0,0,0,0,33.5,medium
167.8,11.88,0.1731,1.7,90.3,211.4,45.56,1,1,0,1,0,42.8,medium
161.9,4.28,0.2979,2.64,120.2,373.2,19.34,0,1,1,1,0,49.5,medium
122.4,14.79,0.131,1.38,145.8,344.7,11.07,0,1,0,1,0,57.8,high
129.5,2.16,0.4253,5.53,126.6,289.3,5.56,0,0,0,1,0,38.1,medium
104.7,4.14,0.1896,6.9,89.6,384.9,38.7,0,0,0,0,0,34.0,medium
140.6,4.5,0.295,4.05,132.3,340.4,23.71,0,0,0,0,0,46.2,medium
209.9,1.79,0.1208,4.76,137.0,386.2,41.7,1,0,0,0,1,42.2,medium
152.8,15.16,0.0303,5.35,125.3,294.5,11.69,0,1,0,0,0,50.9,high
