temperature_C,pressure_atm,catalyst_type,catalyst_conc_mol_L,scale_mL,time_min,conversion_pct,yield_pct,rate_constant,activation_energy_J_mol,heat_dissipation_W_m2
240.3,2.42,Ti(OBu)4,0.055,1000000,142.4,94.34,83.14,1298.87871,74443.0,1125.9
243.5,4.89,p-TSA,0.0856,2000,133.2,99.5,96.53,2600.910991,75846.0,964.6
213.6,4.87,Ti(OBu)4,0.0731,5000,20.1,99.5,92.99,688.810775,71065.0,955.4
117.9,7.05,Ti(OBu)4,0.081,5000,108.9,98.29,95.03,7.965586,74851.0,665.1
78.6,14.73,Ti(OBu)4,0.0416,1000000,32.1,18.05,17.47,0.356115,75700.0,664.8
190.0,1.95,p-TSA,0.0464,50000,174.4,97.37,90.02,199.738002,73859.0,886.1
143.6,8.26,Ti(OBu)4,0.0454,5000,147.9,96.37,89.7,22.035531,74041.0,721.7
83.2,3.51,Ti(OBu)4,0.0273,500000,28.7,11.49,10.59,0.281516,74099.0,667.7
154.1,14.59,H2SO4,0.0155,1000000,30.7,94.04,86.98,12.991428,74042.0,868.0
66.5,2.59,H2SO4,0.0632,500000,111.1,28.19,27.33,0.196376,75012.0,677.0
232.8,6.65,p-TSA,0.099,1000000,68.6,93.09,89.26,2436.929667,75258.0,1135.8
109.2,11.33,Amberlyst-15,0.025,500000,15.9,32.65,29.15,1.521501,70799.0,718.0
185.9,10.86,H2SO4,0.0142,50000,102.1,99.4,93.54,57.373381,76306.0,937.6
119.2,6.92,p-TSA,0.0802,1000000,75.9,96.52,94.55,10.481611,74420.0,783.7
158.8,5.85,Ti(OBu)4,0.0327,2000,27.2,99.5,93.49,29.963506,78866.0,772.5
163.9,6.57,Ti(OBu)4,0.0847,50000,146.3,96.48,92.49,106.380225,72617.0,795.0
95.1,4.7,p-TSA,0.0734,500000,165.6,94.27,90.21,2.280921,73265.0,738.5
244.2,3.87,Ti(OBu)4,0.0951,1000000,138.6,93.88,85.9,2351.878836,74594.0,1050.4
207.3,7.76,Ti(OBu)4,0.0468,50000,149.8,97.97,89.85,359.643356,75826.0,962.6
238.5,4.76,Amberlyst-15,0.0696,500000,46.8,95.84,91.28,1532.759018,71098.0,1088.9
230.0,5.02,Ti(OBu)4,0.0518,500,54.8,99.5,92.53,1014.888405,73342.0,915.7
173.6,10.19,H2SO4,0.0668,500,45.4,99.5,93.24,141.473516,76183.0,746.9
235.2,14.56,Ti(OBu)4,0.0505,5000,140.1,99.11,94.28,1191.765896,73104.0,989.3
76.8,9.45,p-TSA,0.027,2000,171.1,47.23,45.24,0.22371,77740.0,568.8
97.2,2.08,Amberlyst-15,0.0557,500,131.9,93.3,84.63,1.449774,74092.0,571.7
68.6,2.06,Ti(OBu)4,0.0576,500000,159.8,39.82,35.62,0.202775,73201.0,676.6
121.8,14.32,p-TSA,0.083,50000,118.6,98.56,89.61,14.152469,76220.0,736.6
133.8,5.16,H2SO4,0.0762,1000000,75.9,95.88,89.24,19.690056,78215.0,850.5
111.6,2.29,Ti(OBu)4,0.0697,50000,82.4,99.5,90.96,4.609162,75833.0,710.1
217.5,9.39,Amberlyst-15,0.0202,5000,22.8,99.5,93.22,216.670745,77521.0,935.1
127.8,9.73,Ti(OBu)4,0.0749,50000,15.3,95.21,84.29,13.728914,78353.0,771.6
113.4,10.08,p-TSA,0.055,500,128.2,98.74,91.93,5.39204,73156.0,606.5
163.1,4.74,Amberlyst-15,0.0905,50000,84.5,95.04,87.13,80.831254,76877.0,805.7
86.8,1.21,Ti(OBu)4,0.0928,500,103.9,86.39,80.64,1.238132,71953.0,560.2
212.4,14.51,H2SO4,0.015,500,104.8,99.5,91.76,162.126075,75850.0,901.7
74.2,4.51,Amberlyst-15,0.0839,2000,57.2,34.64,31.46,0.417263,74857.0,559.4
247.5,10.46,H2SO4,0.0134,5000,90.9,99.13,96.19,518.381635,77486.0,1013.3
206.7,10.89,p-TSA,0.043,500000,90.0,97.25,87.38,417.743749,77345.0,1000.5
97.8,9.54,Ti(OBu)4,0.0588,500,76.0,89.69,85.03,1.810967,76140.0,601.5
61.0,5.38,H2SO4,0.0233,1000000,149.5,11.84,11.52,0.049398,75597.0,647.0
214.9,4.8,p-TSA,0.0772,5000,86.7,99.5,92.92,917.418598,76017.0,908.7
194.3,9.37,Ti(OBu)4,0.0108,500000,112.6,92.53,89.54,53.579929,75124.0,1003.9
198.5,13.13,p-TSA,0.0252,1000000,162.2,94.43,84.28,183.36873,74878.0,980.4
206.5,14.25,H2SO4,0.0623,50000,157.3,98.42,91.47,529.698505,77885.0,978.0
74.1,2.48,p-TSA,0.0743,5000,161.4,70.87,65.61,0.491665,78126.0,603.3
128.1,3.17,Amberlyst-15,0.0925,1000000,55.9,93.25,82.14,15.294225,74717.0,837.3
82.0,14.23,Ti(OBu)4,0.0735,5000,15.9,15.97,14.76,0.779629,75475.0,552.5
224.0,11.31,p-TSA,0.0705,5000,54.4,97.95,89.81,1408.387247,75163.0,945.7
178.4,13.36,H2SO4,0.0455,50000,57.4,96.89,91.76,123.861991,71777.0,875.0
122.9,3.84,Ti(OBu)4,0.0101,50000,164.6,93.11,90.67,1.34328,74327.0,727.2
72.1,9.23,Amberlyst-15,0.0208,5000,120.4,17.14,15.23,0.098701,78199.0,569.4
119.1,10.82,Ti(OBu)4,0.0581,1000000,23.9,89.71,81.89,6.703906,73500.0,820.8
121.8,10.52,Amberlyst-15,0.0708,2000,33.0,99.3,91.79,9.171348,79229.0,655.8
198.6,6.71,Ti(OBu)4,0.0476,500,36.5,96.47,89.28,249.614862,77344.0,826.4
181.1,1.22,p-TSA,0.0758,50000,117.2,95.03,90.99,196.49624,75803.0,880.6
228.6,9.16,p-TSA,0.057,2000,135.0,98.64,91.18,1144.340208,76122.0,971.4
149.7,4.54,H2SO4,0.0167,50000,156.1,97.86,86.38,10.171324,73166.0,801.5
82.7,7.3,Amberlyst-15,0.0273,5000,169.9,52.12,49.57,0.248113,74470.0,554.7
195.5,14.41,H2SO4,0.0856,2000,44.3,99.5,96.36,520.862782,77883.0,806.6
204.5,6.59,p-TSA,0.0752,1000000,62.7,94.47,87.99,652.707632,73771.0,1022.3
166.6,12.76,Amberlyst-15,0.0905,1000000,50.9,94.56,88.7,127.285289,77122.0,893.8
206.5,3.64,H2SO4,0.0206,500000,71.0,94.41,84.62,150.825731,72246.0,1021.2
153.8,10.41,H2SO4,0.0991,500,165.5,99.5,89.76,80.954728,72604.0,679.6
159.3,14.68,H2SO4,0.0288,500,107.8,98.62,89.1,30.630457,78803.0,717.1
141.2,2.43,H2SO4,0.0111,50000,135.5,98.27,90.71,4.276105,74976.0,748.1
64.8,1.12,H2SO4,0.0998,500,93.3,33.7,32.78,0.26614,73923.0,510.1
80.5,7.07,Amberlyst-15,0.0353,500000,14.9,6.49,6.05,0.294243,77725.0,705.7
66.0,2.3,H2SO4,0.0701,1000000,20.9,5.58,5.02,0.222814,77492.0,675.1
180.9,11.48,Amberlyst-15,0.0259,2000,101.4,97.06,88.0,61.806711,76842.0,784.8
119.7,13.8,H2SO4,0.0622,2000,132.2,98.13,90.12,8.416941,73860.0,642.0
156.6,7.08,p-TSA,0.0914,1000000,46.6,94.55,89.1,93.383841,74426.0,898.6
232.4,4.62,p-TSA,0.0388,5000,132.7,94.95,87.73,828.749019,75623.0,915.4
107.4,7.08,H2SO4,0.0703,1000000,147.8,94.75,87.1,4.023992,76389.0,761.2
138.0,11.13,Ti(OBu)4,0.0269,2000,80.0,99.5,93.18,9.465391,73983.0,755.5
203.6,1.13,p-TSA,0.0662,50000,136.9,97.85,88.48,463.381638,75341.0,938.4
103.5,9.25,Amberlyst-15,0.0403,500000,78.7,83.14,73.82,1.711832,75535.0,699.0
74.6,9.59,H2SO4,0.029,1000000,125.3,30.9,27.27,0.173569,77574.0,668.3
115.1,9.93,Amberlyst-15,0.0382,5000,139.9,97.6,88.34,3.324398,76509.0,653.7
90.6,4.39,Ti(OBu)4,0.0261,50000,178.6,72.45,64.42,0.473679,71986.0,725.7
236.6,11.0,H2SO4,0.0912,1000000,68.7,97.36,88.95,2232.035826,74573.0,1141.6
213.5,2.28,p-TSA,0.0457,50000,79.9,98.45,94.25,467.898697,73142.0,990.7
180.3,3.79,Amberlyst-15,0.0321,1000000,38.2,95.83,91.19,60.347525,76136.0,940.6
225.6,13.28,p-TSA,0.0504,50000,44.7,96.26,90.59,981.730861,76846.0,1034.9
212.7,11.34,p-TSA,0.0388,500,127.9,99.5,96.04,498.083996,75203.0,832.7
95.4,1.19,H2SO4,0.077,50000,165.9,93.89,85.27,1.848177,74464.0,705.9
229.6,4.48,Amberlyst-15,0.0974,500,77.1,99.5,96.37,1538.085102,75138.0,936.8
162.5,4.0,Ti(OBu)4,0.0494,2000,40.6,99.5,91.53,49.893199,75418.0,766.7
213.4,4.79,p-TSA,0.0875,500,58.5,99.5,91.55,1013.089279,73720.0,902.7
230.3,4.47,H2SO4,0.0609,50000,87.4,98.0,90.22,1055.985994,72563.0,997.2
120.4,1.88,H2SO4,0.0242,500000,59.4,89.87,79.97,2.649058,70900.0,748.0
80.9,7.43,Ti(OBu)4,0.0722,500000,49.7,40.73,39.81,0.673917,77534.0,716.6
103.3,11.26,H2SO4,0.0562,2000,135.1,99.5,88.94,2.608939,75993.0,620.8
141.2,9.49,p-TSA,0.0686,50000,11.3,95.37,87.18,30.27604,75725.0,805.9
215.4,10.42,H2SO4,0.0901,500,101.7,98.73,90.04,1032.956021,77530.0,928.1
223.5,2.14,Amberlyst-15,0.0496,500000,144.9,95.59,84.84,572.798718,72489.0,1022.1
61.3,14.32,Amberlyst-15,0.0911,1000000,55.3,15.72,14.08,0.205025,71529.0,649.0
157.0,12.74,p-TSA,0.0776,5000,112.6,95.76,84.7,91.585784,75768.0,824.6
139.3,12.27,Amberlyst-15,0.054,50000,123.7,97.68,88.82,19.236395,75587.0,803.3
102.2,12.52,Ti(OBu)4,0.0643,1000000,121.4,95.87,92.67,2.888986,71537.0,734.5
82.8,14.06,H2SO4,0.0393,1000000,85.8,48.11,43.97,0.503456,75719.0,678.3
124.1,8.62,p-TSA,0.0985,50000,68.9,99.5,88.79,17.170493,74200.0,729.5
239.2,3.8,Ti(OBu)4,0.0701,5000,152.1,97.48,92.07,1625.468292,73386.0,960.7
121.4,9.63,H2SO4,0.0139,500000,138.9,93.93,92.02,2.015266,74333.0,795.6
158.6,11.4,Ti(OBu)4,0.0394,5000,64.6,97.91,88.43,41.515041,70117.0,783.7
193.6,11.33,p-TSA,0.0661,2000,27.5,98.98,89.87,389.150603,73817.0,857.4
129.1,8.3,p-TSA,0.0151,500,22.2,73.88,72.2,3.906871,73591.0,632.4
244.6,1.96,Ti(OBu)4,0.0121,500,26.0,97.89,87.89,308.795336,76114.0,944.4
242.9,6.2,H2SO4,0.0505,1000000,109.1,94.23,87.74,1427.571463,74684.0,1045.5
107.8,13.89,Amberlyst-15,0.0399,500000,18.8,48.29,43.65,2.309165,76278.0,758.9
154.5,9.18,Amberlyst-15,0.0494,5000,67.3,99.5,96.84,36.283412,69901.0,806.4
117.2,8.54,Ti(OBu)4,0.0336,1000000,138.0,98.32,96.17,3.408575,73322.0,750.2
114.1,4.76,p-TSA,0.0248,50000,60.0,90.15,86.68,2.382335,76112.0,734.8
67.0,6.16,H2SO4,0.072,1000000,139.8,40.27,36.7,0.254209,74382.0,649.2
175.8,13.53,H2SO4,0.0563,50000,136.7,95.96,88.31,126.870461,76691.0,898.6
155.5,10.33,p-TSA,0.028,50000,51.8,96.76,87.49,30.456932,71391.0,828.5
69.8,12.02,Amberlyst-15,0.0388,2000,133.9,31.48,30.5,0.147102,76462.0,551.6
112.9,7.36,H2SO4,0.0633,2000,137.1,98.85,96.03,4.675754,73722.0,649.4
232.6,9.82,Ti(OBu)4,0.0165,50000,77.6,95.01,87.59,336.122422,73528.0,1056.2
105.5,4.48,Amberlyst-15,0.0233,500000,45.8,49.23,46.55,1.053742,76982.0,759.2
87.5,10.88,Ti(OBu)4,0.0166,2000,98.6,35.98,32.26,0.271372,77324.0,562.7
153.0,6.99,Amberlyst-15,0.0831,2000,166.6,99.5,91.89,53.512682,77069.0,750.5
247.3,7.2,p-TSA,0.0777,500,118.7,99.5,93.84,3037.535598,79077.0,942.1
106.0,10.09,Ti(OBu)4,0.0778,1000000,39.4,89.74,82.43,4.092555,77534.0,769.8
187.7,14.11,Ti(OBu)4,0.0745,500,126.1,96.59,88.45,264.069616,73409.0,791.6
204.7,1.9,p-TSA,0.0702,500000,82.6,95.66,84.19,470.832721,75283.0,976.4
105.2,12.55,Ti(OBu)4,0.0529,2000,110.6,99.5,95.56,2.797391,74280.0,633.9
198.4,5.09,Amberlyst-15,0.0678,2000,134.8,97.85,94.81,332.287287,79058.0,862.6
129.9,7.21,H2SO4,0.0135,5000,97.5,96.4,94.18,2.978578,77210.0,741.6
180.1,1.31,H2SO4,0.0659,500000,148.4,92.7,88.24,158.744817,74622.0,922.8
180.4,5.21,p-TSA,0.08,1000000,132.8,97.43,91.09,252.065898,76756.0,891.5
161.8,8.04,Amberlyst-15,0.055,1000000,114.6,93.97,85.22,54.257501,72536.0,893.6
77.2,1.79,Ti(OBu)4,0.0422,1000000,35.6,14.53,14.24,0.270129,75501.0,644.1
218.7,7.88,Ti(OBu)4,0.035,500000,152.1,96.41,90.52,399.560407,73124.0,1044.2
120.9,13.98,H2SO4,0.0679,5000,169.1,99.5,94.34,10.950721,71623.0,637.1
95.4,2.48,Ti(OBu)4,0.0724,5000,33.3,59.8,56.7,1.73946,76569.0,593.9
67.7,11.7,H2SO4,0.0884,500,93.0,41.15,39.69,0.334423,76817.0,493.4
172.3,6.74,p-TSA,0.0408,500000,54.0,95.76,84.36,80.265403,75914.0,961.9
188.7,10.17,Ti(OBu)4,0.0793,500000,138.3,97.43,87.88,317.451686,74634.0,924.6
63.2,4.64,Amberlyst-15,0.0605,5000,132.7,23.7,22.43,0.119478,72467.0,543.2
157.3,3.23,Ti(OBu)4,0.0895,50000,34.0,95.57,92.65,78.251203,72677.0,845.6
103.0,3.25,H2SO4,0.0575,50000,159.1,94.5,89.64,2.033248,73061.0,737.1
182.6,1.99,p-TSA,0.0566,500,40.8,98.17,90.45,183.487841,74533.0,814.7
93.1,3.6,H2SO4,0.062,50000,145.5,94.52,86.6,1.371049,77152.0,700.6
191.3,10.3,Ti(OBu)4,0.0774,50000,87.7,96.52,92.06,327.31679,77121.0,939.1
133.5,13.34,H2SO4,0.0968,50000,65.8,96.09,91.68,28.198109,71703.0,732.4
238.0,12.4,H2SO4,0.0166,2000,36.9,98.02,92.21,491.133832,73614.0,970.8
86.1,10.59,p-TSA,0.0148,500,38.5,15.34,13.94,0.266263,73560.0,575.7
124.8,2.55,Amberlyst-15,0.0944,5000,122.5,98.14,95.44,11.509552,69937.0,668.3
81.6,5.05,Ti(OBu)4,0.0577,50000,103.6,58.67,54.87,0.497341,76132.0,621.5
235.7,5.34,p-TSA,0.0653,1000000,30.8,97.07,93.1,1676.636801,74508.0,1065.1
226.7,4.5,Amberlyst-15,0.0534,2000,29.2,99.5,89.69,718.768536,74774.0,955.0
109.0,8.21,H2SO4,0.0184,50000,22.3,32.53,29.74,1.110737,77692.0,705.4
185.4,8.5,Amberlyst-15,0.0791,2000,136.4,99.5,96.26,224.337123,75177.0,818.9
215.3,6.0,H2SO4,0.0773,500,131.0,98.83,87.47,800.25788,74139.0,834.7
165.5,5.95,H2SO4,0.0381,1000000,19.9,94.68,88.17,49.871235,76144.0,911.7
160.6,12.6,p-TSA,0.0376,1000000,105.2,95.51,88.65,52.116497,77118.0,884.6
106.0,12.05,H2SO4,0.0854,1000000,24.4,81.81,78.14,5.27539,75593.0,772.2
77.7,5.31,p-TSA,0.0165,50000,163.6,31.69,28.78,0.14958,76378.0,594.9
230.5,13.79,Amberlyst-15,0.0893,2000,164.2,99.5,89.74,1552.290884,74709.0,946.6
231.1,14.34,Amberlyst-15,0.0331,1000000,128.7,95.49,92.88,626.513337,74836.0,1064.5
180.3,5.57,H2SO4,0.0634,500000,167.5,94.53,88.59,161.84303,75226.0,898.2
124.4,5.96,p-TSA,0.0942,500000,147.9,94.56,84.2,15.834257,73494.0,756.2
126.3,8.08,H2SO4,0.071,2000,150.9,96.94,87.18,13.135524,73864.0,645.6
197.9,14.18,p-TSA,0.0473,50000,106.9,95.72,93.79,368.149054,77756.0,923.6
230.5,13.27,p-TSA,0.0721,50000,62.0,99.5,89.51,1745.216327,79016.0,1014.7
228.5,2.44,p-TSA,0.041,500,47.0,98.81,92.99,705.729504,78184.0,914.4
208.2,6.5,Amberlyst-15,0.035,500,65.6,98.21,90.55,243.872145,72353.0,864.6
182.0,8.75,p-TSA,0.0997,1000000,116.8,95.53,92.52,312.165064,72160.0,932.2
76.0,8.04,Amberlyst-15,0.0776,5000,39.4,25.48,24.35,0.47978,72619.0,606.7
90.7,3.71,p-TSA,0.068,500,54.0,72.24,67.88,1.474197,75269.0,548.5
230.7,13.02,Amberlyst-15,0.042,50000,89.6,99.11,87.33,748.185131,69383.0,1025.3
175.2,10.48,Ti(OBu)4,0.0144,5000,49.6,99.32,96.14,29.818486,73822.0,818.1
61.7,12.73,Amberlyst-15,0.0128,500,110.1,4.1,3.79,0.02704,77814.0,500.6
79.3,13.02,Amberlyst-15,0.0599,2000,166.9,73.16,71.2,0.490914,76965.0,556.8
186.1,11.48,H2SO4,0.0786,500000,137.2,94.75,88.07,273.269972,73982.0,961.9
61.0,7.15,p-TSA,0.0584,500,123.3,26.96,25.6,0.134219,74133.0,487.1
90.6,9.55,Ti(OBu)4,0.0857,500,109.1,94.46,83.78,1.732625,76134.0,585.7
164.3,3.25,H2SO4,0.013,2000,93.0,96.41,92.02,15.0105,76871.0,751.1
191.5,10.43,p-TSA,0.043,50000,41.7,96.93,88.57,222.755939,73934.0,860.5
183.9,3.51,Ti(OBu)4,0.0313,1000000,162.1,92.74,84.87,86.511664,74531.0,930.5
102.6,10.72,Ti(OBu)4,0.0503,2000,52.3,87.44,77.98,2.208115,73868.0,653.6
195.3,4.21,Ti(OBu)4,0.0165,1000000,25.5,93.6,83.74,69.423016,72337.0,983.6
105.1,2.65,p-TSA,0.0959,500,137.5,99.5,89.41,4.662461,74561.0,600.4
121.8,3.31,Ti(OBu)4,0.0301,50000,39.9,88.94,81.18,3.565766,74408.0,707.9
201.8,1.03,Ti(OBu)4,0.093,5000,73.2,98.07,95.05,519.31102,72479.0,891.5
183.4,11.06,H2SO4,0.0483,500,14.8,99.5,91.22,149.384795,76292.0,762.8
221.4,11.25,Amberlyst-15,0.0987,2000,33.3,99.5,94.77,1206.480916,75967.0,892.2
184.9,8.21,p-TSA,0.0599,5000,39.4,99.5,88.38,248.643049,76391.0,835.2
168.0,3.26,Amberlyst-15,0.0938,500000,19.2,96.65,90.77,101.324177,73464.0,918.2
77.8,2.17,H2SO4,0.0105,5000,121.6,16.13,14.97,0.072253,71033.0,596.0
129.9,1.27,Amberlyst-15,0.0773,2000,152.3,97.53,95.36,14.02817,75935.0,707.1
110.4,3.32,Ti(OBu)4,0.0913,5000,73.5,98.88,95.38,5.627346,73672.0,613.3
106.4,13.47,Ti(OBu)4,0.0226,2000,158.7,96.09,88.93,1.247807,73219.0,630.7
244.9,4.38,p-TSA,0.0187,500,46.3,99.5,95.27,675.572726,72486.0,941.2
134.7,5.96,p-TSA,0.0482,50000,65.3,99.06,89.09,15.411648,74449.0,725.7
229.5,2.47,p-TSA,0.094,500000,35.6,95.17,89.1,1790.513287,78155.0,1059.2
179.9,4.11,H2SO4,0.0588,50000,115.5,96.39,85.54,144.814042,73989.0,877.2
211.0,8.27,p-TSA,0.0575,50000,81.4,97.8,89.47,603.012071,72820.0,977.8
155.5,9.51,H2SO4,0.0227,50000,114.3,94.33,85.14,18.590471,76304.0,826.1
169.6,4.43,Ti(OBu)4,0.0101,2000,139.5,98.74,93.99,14.683101,75346.0,772.6
153.6,1.81,Amberlyst-15,0.0829,2000,102.8,98.9,91.87,45.715786,70761.0,776.8
97.1,6.47,Ti(OBu)4,0.0179,500000,116.7,58.22,55.6,0.503271,76325.0,661.1
197.3,4.28,Ti(OBu)4,0.067,2000,169.0,99.5,92.69,330.477864,79257.0,856.3
113.3,4.07,Ti(OBu)4,0.0923,1000000,60.8,93.37,82.97,7.221296,69799.0,730.5
64.6,14.44,p-TSA,0.0288,2000,71.1,11.63,11.09,0.113483,72529.0,499.2
182.6,9.63,p-TSA,0.0699,2000,132.0,99.5,95.85,238.286912,69303.0,837.4
93.7,8.8,p-TSA,0.0171,2000,113.9,61.42,59.6,0.493765,74849.0,561.0
238.7,6.82,Amberlyst-15,0.0643,500,40.4,99.5,93.25,1411.625885,76981.0,889.0
241.2,7.01,p-TSA,0.0248,500000,73.9,96.9,92.58,798.286732,75211.0,1159.5
233.8,8.57,H2SO4,0.0762,1000000,89.5,96.1,91.79,1631.760395,77784.0,1043.8
130.3,10.75,Ti(OBu)4,0.0371,2000,81.3,99.28,88.91,7.925249,76661.0,740.4
62.9,10.83,Amberlyst-15,0.0517,500000,40.3,5.63,5.05,0.120764,78404.0,637.1
236.4,3.4,Amberlyst-15,0.0639,5000,167.2,96.35,85.47,1086.902468,77320.0,960.2
141.4,8.0,Amberlyst-15,0.0254,500,139.6,99.5,90.74,8.739906,74194.0,705.3
243.7,6.77,Amberlyst-15,0.0767,2000,91.8,98.28,91.14,1697.199741,75133.0,1014.3
243.1,13.19,Amberlyst-15,0.0372,1000000,125.6,96.43,94.48,961.624719,73263.0,1073.3
222.1,9.84,H2SO4,0.0696,500,162.5,99.5,91.85,977.58913,74539.0,874.8
115.9,8.46,Ti(OBu)4,0.0242,1000000,33.1,68.07,64.85,2.424087,75124.0,815.3
133.2,2.62,Amberlyst-15,0.0719,500,52.6,98.26,93.29,15.174983,74830.0,676.5
221.7,9.48,Ti(OBu)4,0.0215,5000,102.3,99.27,89.38,286.63772,77685.0,972.3
120.2,2.64,p-TSA,0.0483,500000,145.8,93.97,83.25,6.650352,74340.0,800.9
92.2,5.72,Amberlyst-15,0.0322,500,16.2,13.28,12.41,0.603521,73136.0,619.7
165.8,3.0,Amberlyst-15,0.0774,50000,177.3,95.53,90.76,82.090251,73261.0,854.8
237.9,10.69,Ti(OBu)4,0.0336,5000,87.3,98.29,96.31,776.809937,76310.0,986.3
192.2,3.89,Amberlyst-15,0.0894,50000,71.1,98.76,90.45,309.337173,72194.0,925.2
168.3,6.49,Amberlyst-15,0.0903,5000,59.8,98.49,95.5,115.15935,74598.0,801.5
78.5,13.54,Amberlyst-15,0.0277,50000,39.6,12.21,11.21,0.202235,77655.0,656.5
176.9,3.86,H2SO4,0.0652,50000,144.6,94.71,89.88,140.828796,75585.0,884.2
248.1,8.11,H2SO4,0.0179,1000000,172.4,95.88,90.11,642.882473,74851.0,1143.9
86.6,6.87,Amberlyst-15,0.0452,500,80.3,51.82,45.87,0.576376,74928.0,579.8
158.5,1.25,H2SO4,0.0742,500,171.9,99.5,88.34,64.65591,72941.0,744.0
226.7,12.1,p-TSA,0.0693,5000,150.0,97.97,86.42,1491.398829,73286.0,966.8
200.7,1.97,Amberlyst-15,0.0662,500000,91.8,96.76,88.73,313.461921,74610.0,956.5
192.4,7.64,p-TSA,0.0354,1000000,124.6,94.81,90.51,182.585766,75543.0,964.6
193.5,8.85,Ti(OBu)4,0.044,500,83.9,99.5,89.28,193.858381,76896.0,843.9
128.3,9.8,p-TSA,0.0193,500,105.0,99.5,93.59,4.481398,75185.0,698.4
115.8,10.64,Ti(OBu)4,0.0747,1000000,19.9,89.66,81.49,7.762102,77706.0,731.2
213.8,4.55,Amberlyst-15,0.0553,2000,128.4,99.5,95.49,414.661958,78210.0,882.5
213.9,1.14,Ti(OBu)4,0.0738,1000000,19.0,94.92,91.1,677.13931,76591.0,1035.5
224.7,11.13,Ti(OBu)4,0.0324,500,148.9,99.5,95.28,493.505663,77450.0,870.4
233.5,8.5,p-TSA,0.0392,500000,150.2,94.71,88.32,940.074339,73019.0,1044.1
157.2,12.71,p-TSA,0.0401,2000,50.3,97.67,88.73,46.029446,72702.0,772.2
155.3,12.5,p-TSA,0.0123,50000,65.0,96.17,92.41,11.755768,76036.0,870.6
211.7,12.81,Amberlyst-15,0.0407,1000000,91.8,93.89,84.37,346.086969,72318.0,968.2
