temperature_C,pressure_atm,catalyst_ratio_mol_pct,mixing_speed_rpm,residence_time_min,efficiency_pct,yield_pct,cost_per_batch_INR
174.1,12.67,1.535,247,161.3,38.72,38.05,1440
89.7,14.16,4.394,352,10.6,66.24,62.63,1706
142.2,11.12,1.868,370,74.4,60.55,60.25,1460
167.6,3.98,1.499,357,12.1,84.1,76.97,1284
156.9,5.17,1.869,90,72.0,88.36,81.68,1167
169.2,11.99,3.684,276,93.6,58.88,56.76,1687
185.9,8.29,2.863,236,100.1,83.24,83.72,1516
132.1,4.52,0.984,596,70.5,84.29,77.17,1285
72.1,10.19,1.117,306,133.3,64.25,62.17,1222
70.6,13.69,2.203,289,80.7,63.22,62.61,1462
223.2,6.01,2.023,316,97.9,93.82,92.81,1449
188.7,9.35,4.333,556,146.0,87.78,85.61,1936
205.2,9.14,3.075,386,39.6,79.31,80.34,1688
236.5,2.78,1.34,264,64.6,88.21,84.5,1385
202.6,2.26,0.628,552,98.6,76.7,77.13,1295
191.5,13.45,0.961,561,140.5,35.3,34.4,1620
184.6,14.07,3.652,195,82.3,48.1,47.55,1758
109.1,13.66,4.312,266,22.4,59.54,56.91,1821
241.9,6.55,4.021,582,178.1,98.25,90.4,1805
163.0,5.03,4.054,348,130.3,99.0,90.4,1590
102.2,14.19,1.674,287,132.9,48.88,48.0,1450
99.9,13.36,4.951,157,89.1,70.11,66.26,1695
214.9,12.48,0.889,261,103.0,42.54,41.18,1463
107.5,5.68,4.195,397,179.0,90.11,89.17,1526
67.9,9.94,0.936,71,111.2,57.46,57.14,1078
141.4,11.51,1.704,96,47.2,47.43,45.59,1272
215.3,9.07,2.729,53,173.9,72.83,68.29,1509
138.7,9.43,0.74,170,101.4,59.45,59.04,1207
212.7,11.59,2.274,151,13.5,50.43,47.9,1558
217.2,11.74,2.076,518,107.5,52.15,52.8,1751
223.0,4.36,3.412,152,22.0,97.08,96.97,1548
171.9,6.47,3.731,414,99.7,99.0,97.97,1641
192.9,11.94,0.907,115,150.3,41.39,38.45,1340
109.8,4.66,0.671,376,101.6,81.58,76.97,1140
78.9,13.82,3.992,290,73.5,71.27,71.41,1614
161.2,12.74,2.876,275,160.0,45.97,41.5,1599
62.0,13.54,2.906,521,167.7,65.36,64.95,1519
148.5,5.16,4.913,142,69.1,99.0,93.9,1555
79.4,2.47,2.47,377,94.8,75.21,74.9,1140
80.6,2.41,1.383,502,177.1,65.81,63.59,1168
225.4,8.78,3.563,443,40.3,85.78,82.63,1738
181.7,5.28,4.171,591,60.7,99.0,97.43,1834
182.6,4.69,2.761,51,82.8,93.7,93.4,1439
136.9,4.11,3.613,536,27.2,94.86,93.26,1554
138.5,8.87,2.813,387,56.2,75.5,72.03,1583
117.6,8.67,2.333,51,102.6,67.54,63.38,1232
142.5,6.91,0.654,306,48.8,78.35,78.46,1183
171.6,2.94,1.282,472,126.7,90.15,86.77,1355
95.5,14.0,2.659,150,69.1,55.56,55.22,1460
109.7,6.99,2.284,423,25.3,81.13,82.71,1301
154.0,2.73,4.293,127,140.0,97.88,95.66,1387
133.1,1.52,0.988,492,106.5,74.63,69.66,1095
215.7,3.14,0.726,363,150.2,90.04,90.39,1270
216.1,5.16,0.892,69,71.2,86.69,80.87,1263
123.8,9.82,3.551,100,13.3,69.29,64.53,1520
145.7,14.59,3.175,525,17.9,46.54,42.3,1823
245.6,4.81,3.345,68,145.2,99.0,90.03,1571
217.2,12.06,1.206,214,79.8,48.02,48.19,1501
101.0,13.76,2.824,362,176.0,51.41,47.69,1663
113.2,6.48,3.955,167,151.2,94.69,86.46,1364
75.9,4.55,3.577,173,12.7,77.14,72.69,1192
188.8,7.87,2.474,477,157.9,87.39,86.13,1577
120.2,13.55,0.966,210,46.2,44.62,41.98,1311
162.0,1.15,4.418,71,92.7,81.73,76.59,1362
205.9,7.81,2.868,447,96.0,92.21,88.39,1719
218.8,11.61,4.503,575,20.2,64.04,57.8,2024
121.8,9.42,2.474,508,31.4,71.77,68.82,1543
105.1,7.96,1.567,352,81.9,76.95,78.4,1212
221.2,8.75,1.883,284,119.2,76.3,75.99,1540
132.4,9.67,2.382,559,55.0,72.84,66.17,1661
216.2,10.55,3.264,471,99.5,70.67,69.15,1882
88.5,5.99,3.96,364,74.5,89.18,85.19,1380
233.3,8.24,1.592,534,117.2,84.89,84.82,1618
151.8,4.83,1.345,381,82.2,90.25,82.3,1444
92.3,14.78,1.412,585,154.8,52.33,48.56,1583
161.7,3.62,4.705,522,177.2,99.0,98.5,1739
225.3,3.11,1.238,353,165.2,77.09,77.24,1424
134.0,4.76,2.056,558,38.7,92.62,89.24,1339
93.8,13.88,2.686,238,87.7,58.99,53.23,1528
169.5,10.22,3.003,436,88.0,72.97,73.5,1673
218.5,7.38,4.361,144,152.9,96.39,91.18,1754
83.1,13.96,1.008,542,70.7,60.33,54.58,1555
67.9,13.6,0.986,186,103.4,59.4,59.3,1194
70.7,6.62,1.924,572,113.6,67.27,63.91,1491
103.8,8.89,2.359,59,29.0,62.67,57.83,1248
61.4,13.68,2.182,425,104.9,67.89,67.63,1495
141.4,5.47,2.264,133,52.0,90.6,86.51,1107
192.6,6.71,4.332,474,45.1,99.0,96.32,1807
195.0,12.1,4.265,321,52.6,57.56,57.49,1732
181.0,10.78,4.125,550,26.9,63.81,61.43,1866
116.3,1.68,3.899,443,21.9,85.68,78.25,1367
199.8,2.64,0.682,473,120.0,83.71,85.02,1307
169.5,12.85,1.172,116,170.0,35.34,33.02,1409
223.6,1.42,3.795,103,127.0,81.39,82.96,1450
150.8,13.88,3.177,518,63.0,53.87,48.52,1857
94.2,4.8,3.533,174,67.0,81.67,78.24,1223
180.6,9.38,3.726,527,102.0,83.98,82.69,1768
88.6,8.9,4.601,128,157.3,79.36,80.05,1426
243.0,6.55,3.358,220,44.4,97.09,96.47,1582
193.6,1.44,1.74,561,89.6,78.54,73.1,1481
203.7,3.69,0.874,512,94.8,87.79,81.58,1298
189.1,9.61,2.444,80,168.3,68.53,64.61,1410
78.5,7.25,3.694,296,101.1,81.86,74.76,1502
148.4,6.79,1.769,550,142.7,88.62,86.88,1446
183.8,2.37,1.04,58,24.9,78.68,79.7,1068
103.6,5.86,4.994,109,65.6,93.38,91.24,1457
189.1,8.37,2.385,405,113.9,83.14,80.14,1510
215.8,2.09,1.473,108,125.2,80.38,77.2,1149
112.2,1.93,1.241,297,160.5,71.63,69.56,1024
97.9,7.88,4.383,329,110.4,88.18,86.88,1587
227.8,8.86,4.188,523,59.2,86.63,86.23,1935
61.0,4.61,3.26,577,101.6,72.7,71.52,1343
108.6,5.56,2.962,332,131.0,89.35,87.98,1339
137.3,12.16,4.781,331,143.3,65.12,66.04,1822
187.7,13.17,1.527,450,170.6,31.96,32.21,1529
249.4,5.55,2.369,156,42.4,86.88,86.79,1495
130.5,5.98,0.611,567,122.4,77.92,70.54,1323
240.3,12.62,2.384,51,44.1,46.08,45.17,1577
129.7,14.63,2.229,51,64.0,41.52,39.63,1479
192.2,5.49,4.773,394,34.3,99.0,96.44,1724
91.4,12.04,2.112,238,141.4,58.41,57.38,1465
147.5,7.72,4.257,269,165.4,88.46,87.2,1560
225.5,4.69,3.95,172,15.1,99.0,99.0,1602
120.8,10.54,1.163,274,148.3,59.7,60.25,1238
80.0,7.48,4.832,505,51.1,84.73,82.42,1624
159.3,4.75,3.339,435,92.8,99.0,99.0,1553
143.5,2.5,3.184,102,137.2,88.05,87.32,1205
103.6,13.14,0.553,81,96.2,41.65,38.5,1253
232.1,13.3,3.646,328,49.3,49.76,44.99,1938
174.3,2.05,0.75,452,164.0,75.52,68.06,1218
126.0,10.29,1.334,415,110.9,63.66,61.78,1388
249.3,3.28,0.944,525,168.3,78.04,75.12,1300
86.1,10.05,2.202,123,153.9,61.19,60.18,1223
221.1,13.71,4.081,383,159.0,51.47,51.53,2008
103.8,4.64,3.683,471,71.5,86.03,79.13,1437
105.5,5.87,0.98,566,177.8,73.58,73.79,1291
154.7,12.13,4.093,105,154.9,52.42,47.8,1612
185.8,11.3,2.574,182,67.4,59.26,59.61,1487
191.2,6.72,0.647,245,162.4,83.75,83.93,1309
64.2,12.88,1.507,347,138.4,58.41,57.45,1278
114.5,13.89,4.033,275,133.3,56.78,53.14,1673
185.5,7.34,3.8,524,11.1,96.69,88.11,1751
229.0,1.55,1.348,573,13.8,69.29,68.83,1392
187.3,8.13,0.671,89,128.1,69.25,64.14,1308
110.5,11.36,1.828,435,57.4,57.72,55.0,1561
156.5,4.08,4.077,113,19.9,99.0,95.41,1359
183.0,2.39,4.723,544,58.6,99.0,97.24,1644
85.7,4.99,3.078,128,152.4,78.54,75.28,1171
163.5,1.16,0.91,595,90.0,72.13,70.93,1308
149.6,11.02,2.759,285,114.6,64.74,64.59,1573
124.0,3.04,4.995,260,146.1,91.56,90.24,1506
178.5,11.13,4.724,372,65.0,68.77,64.37,1915
180.9,4.28,4.969,267,11.9,99.0,99.0,1575
244.6,14.89,3.647,179,65.0,47.73,46.11,1915
141.4,8.45,2.417,396,172.6,78.74,75.26,1478
160.9,1.58,4.519,451,92.0,94.44,91.51,1568
89.9,11.82,4.528,570,106.9,77.72,74.45,1830
164.2,6.74,1.15,275,139.3,84.94,84.15,1276
66.9,9.5,3.989,438,29.5,77.25,73.43,1502
88.5,14.32,4.637,508,134.8,68.64,68.17,1772
92.5,8.24,4.543,507,60.6,81.74,81.03,1728
180.2,12.26,3.681,69,76.0,48.61,45.36,1629
167.8,5.24,2.918,246,55.8,93.45,85.18,1339
211.6,11.0,3.995,57,36.1,62.18,62.31,1751
148.2,2.39,2.823,357,71.4,91.52,84.22,1244
150.2,13.51,1.946,526,26.1,40.95,37.01,1586
90.7,3.8,1.665,498,153.6,77.38,73.38,1195
201.1,5.23,2.933,496,62.0,99.0,92.12,1573
60.7,14.41,2.552,244,121.1,66.88,61.96,1446
140.7,3.17,2.86,75,60.4,85.65,78.86,1104
95.8,4.56,1.673,145,45.8,77.3,76.52,1084
206.5,9.12,3.158,419,131.3,74.23,73.78,1776
187.9,14.73,3.479,124,116.1,45.25,40.97,1678
194.3,10.68,4.131,119,47.1,70.44,68.01,1663
88.2,2.6,3.155,245,114.1,77.04,70.58,1152
187.1,11.47,3.902,102,10.9,56.75,54.47,1676
191.3,6.97,1.262,231,40.1,90.63,85.35,1280
60.5,14.89,1.045,583,133.7,59.28,54.79,1404
120.3,9.8,1.308,61,79.7,59.49,60.31,1189
76.6,8.45,4.308,507,44.6,83.74,84.98,1608
189.5,8.8,3.003,596,96.0,85.75,82.98,1749
100.3,9.98,2.549,290,89.1,70.0,64.58,1378
110.3,11.25,3.93,569,117.8,77.63,75.3,1769
74.9,2.1,1.058,194,22.3,58.54,59.21,927
151.9,2.83,0.528,590,149.3,76.82,72.62,1178
66.3,5.21,1.899,524,19.9,60.4,55.36,1107
220.7,7.69,1.62,537,87.2,83.09,81.7,1628
65.0,5.35,1.883,122,130.8,62.69,61.36,1027
71.7,3.99,4.881,529,68.6,87.69,78.93,1460
181.7,13.95,3.055,568,164.7,46.61,46.72,1953
234.2,1.46,3.151,500,138.4,82.63,80.92,1658
229.5,14.14,3.451,100,82.4,43.3,39.99,1842
75.9,13.7,2.29,97,41.3,63.31,57.0,1351
114.8,10.57,4.905,247,17.4,74.77,76.01,1502
159.0,1.46,4.88,438,146.3,94.49,93.6,1627
65.1,4.15,3.962,57,43.0,75.88,71.62,1133
160.4,14.71,1.453,573,55.8,35.97,34.24,1666
145.1,13.68,4.461,339,11.8,50.91,49.11,1861
171.8,14.5,0.954,247,13.1,35.05,34.57,1599
234.9,14.95,3.335,359,49.2,47.5,43.74,2008
112.2,1.89,2.557,444,158.4,74.05,68.39,1267
181.4,8.99,0.676,200,142.7,63.88,57.86,1337
141.7,12.68,4.568,210,140.9,59.26,60.34,1670
142.7,5.48,4.825,307,150.6,99.0,99.0,1505
183.0,7.1,4.583,418,41.7,99.0,95.67,1800
240.8,4.97,1.366,439,176.4,91.47,87.05,1503
224.0,1.53,1.998,228,49.5,77.56,72.02,1235
181.5,2.02,4.801,227,35.5,96.18,93.43,1515
147.7,1.3,0.979,318,60.1,69.27,68.08,1122
140.6,8.38,3.125,348,100.2,83.37,81.93,1564
209.6,9.66,2.685,407,31.2,69.56,62.66,1712
101.5,5.31,1.184,390,135.6,73.56,72.4,1157
171.7,12.57,4.49,255,73.2,56.2,56.42,1754
155.9,13.43,1.104,213,106.6,37.78,34.52,1438
183.4,2.96,3.167,219,134.8,95.89,94.99,1422
95.6,1.73,1.932,405,163.3,76.01,75.92,1184
192.2,5.47,2.381,288,149.3,95.61,89.22,1510
179.1,10.98,1.451,124,101.4,54.58,53.78,1397
94.2,8.1,3.311,53,178.5,70.39,64.17,1234
145.4,7.83,4.949,66,100.1,95.66,93.55,1608
188.9,3.13,4.251,527,101.1,99.0,95.16,1665
231.3,5.92,3.574,302,36.9,99.0,99.0,1584
83.2,14.42,3.904,412,35.3,70.48,67.26,1726
61.7,5.77,4.277,561,38.7,81.35,77.39,1575
91.4,9.28,2.626,119,110.6,71.41,72.27,1303
248.0,1.82,3.052,296,80.6,90.44,91.54,1575
206.0,1.89,4.53,346,75.6,91.67,82.9,1571
176.7,6.94,3.632,513,31.7,95.19,91.22,1645
85.3,9.46,1.112,597,74.8,67.73,62.27,1406
139.0,6.21,4.008,441,74.3,99.0,92.35,1568
195.9,3.51,0.602,403,115.5,89.38,87.59,1319
230.2,11.3,4.314,556,76.0,77.3,70.77,2018
132.5,2.96,4.047,511,81.2,93.65,84.41,1575
249.9,10.35,4.238,526,56.3,77.73,76.74,2029
86.5,14.39,0.606,51,32.4,44.39,43.37,1146
133.5,7.59,4.876,333,61.0,98.4,99.0,1549
226.3,3.81,3.264,481,17.3,99.0,95.54,1673
183.5,12.79,4.1,150,44.6,50.32,51.0,1764
214.1,8.08,3.05,463,65.2,91.36,88.9,1656
232.5,13.93,2.029,55,34.8,34.5,32.65,1653
156.4,11.09,1.833,366,123.0,57.84,56.28,1581
104.6,7.03,0.815,518,57.7,77.28,76.5,1225
191.8,9.64,2.941,287,114.6,82.18,77.39,1514
167.1,3.38,1.146,457,119.5,82.36,77.81,1327
206.8,6.42,3.054,342,86.0,99.0,96.58,1646
157.2,9.31,3.312,406,86.3,82.2,78.47,1591
214.1,9.26,2.489,334,108.8,74.31,71.58,1661
231.4,9.22,1.203,312,54.6,68.36,69.58,1532
202.4,11.41,2.447,513,13.6,57.84,52.36,1743
201.3,2.48,4.454,101,119.7,96.93,94.77,1502
171.6,2.03,2.561,372,113.4,87.11,88.05,1321
149.6,3.07,2.042,113,91.0,83.19,77.23,1097
244.8,12.09,3.334,360,158.9,53.61,49.61,1886
182.6,1.91,3.285,580,96.5,89.2,84.17,1554
219.7,4.15,0.908,81,61.6,84.08,76.42,1068
156.0,4.57,1.564,282,131.3,89.7,86.76,1187
165.4,10.06,2.725,491,173.6,69.25,67.69,1617
185.9,6.62,2.148,253,135.3,89.72,89.58,1438
198.4,3.79,1.94,336,164.5,94.49,85.79,1296
145.2,7.29,2.506,113,29.2,80.58,76.74,1300
127.7,10.6,1.806,173,30.6,61.2,60.84,1437
105.5,12.0,2.064,428,36.3,55.83,55.39,1495
140.5,2.73,3.981,506,129.5,99.0,89.97,1520
100.1,11.01,2.796,406,76.3,69.8,62.91,1510
139.2,1.06,4.428,510,91.2,91.01,90.46,1557
226.2,11.14,4.769,383,54.5,70.48,64.6,1957
245.6,10.25,4.649,496,135.1,80.59,78.12,2001
169.6,7.56,1.642,591,153.7,81.18,73.98,1533
87.7,2.92,2.628,96,37.2,69.82,65.31,1140
141.2,11.7,2.908,314,42.8,57.66,52.99,1601
174.4,2.0,4.335,154,67.7,98.06,96.92,1423
130.4,13.54,3.016,306,57.6,55.64,54.57,1680
99.0,11.83,1.637,325,100.4,51.88,47.53,1353
103.1,11.37,2.964,392,137.9,62.8,56.97,1380
150.0,11.56,0.699,292,144.9,46.8,44.74,1385
101.1,1.95,4.254,229,45.4,88.02,81.28,1322
107.4,14.86,3.047,74,39.8,52.45,47.26,1471
225.9,13.02,3.433,69,71.8,38.78,36.13,1707
208.0,8.11,1.404,146,35.1,73.68,68.22,1436
70.5,11.07,3.012,297,25.6,71.07,69.8,1445
120.8,11.35,2.888,280,51.2,63.43,63.64,1584
161.1,12.62,3.288,155,77.0,51.99,48.28,1620
71.5,4.58,4.313,502,109.9,87.2,80.81,1455
189.8,6.21,3.94,426,133.0,99.0,93.71,1708
133.0,12.2,2.961,239,47.9,58.5,53.86,1566
135.5,11.77,4.52,488,149.2,72.52,73.51,1842
110.4,8.32,2.113,594,15.7,75.76,70.4,1467
123.4,6.55,2.716,185,85.5,83.89,76.44,1279
223.7,14.56,3.422,249,117.6,43.36,41.92,1824
209.8,6.81,2.483,596,59.5,93.54,90.22,1696
237.8,11.7,2.126,126,126.2,43.89,42.83,1634
192.8,6.78,1.006,92,157.4,79.36,80.63,1104
169.8,5.34,3.362,337,25.2,99.0,92.94,1468
109.3,9.97,1.367,308,97.1,64.16,60.51,1229
186.7,12.31,1.122,93,13.2,40.7,38.28,1376
232.2,14.74,1.32,210,57.5,34.58,33.73,1613
73.1,3.08,3.598,280,33.3,79.59,77.4,1246
144.2,13.27,1.123,502,116.1,37.87,36.49,1559
88.4,8.34,4.893,439,52.3,85.38,80.58,1742
214.0,2.51,3.913,553,58.0,98.21,93.43,1690
176.7,12.12,2.267,233,45.0,46.3,46.07,1592
227.1,5.64,3.17,220,51.4,99.0,96.34,1479
72.0,13.16,0.534,305,48.3,49.81,49.11,1228
232.1,3.21,4.3,54,128.6,96.19,89.77,1463
72.8,10.96,1.72,164,172.5,62.65,63.24,1258
114.6,5.21,0.823,166,93.3,78.99,71.42,1054
89.7,4.6,3.912,84,112.1,81.22,78.9,1233
87.6,1.7,1.983,300,149.1,67.26,67.09,1123
92.6,7.75,3.054,548,90.9,84.45,84.78,1484
151.2,6.48,4.298,52,61.3,94.34,88.52,1520
209.0,1.86,3.992,396,171.7,88.57,84.6,1637
230.7,4.17,2.016,534,164.0,96.48,87.23,1523
167.7,7.82,4.409,109,47.5,93.9,93.41,1621
90.0,12.32,2.25,554,129.5,61.79,56.53,1557
75.0,14.01,2.75,500,120.0,68.13,64.81,1576
153.9,8.21,3.256,168,120.4,86.41,88.04,1484
205.4,6.65,0.819,548,151.2,87.01,87.9,1387
177.8,14.37,3.187,492,124.6,45.9,43.13,1825
170.7,14.48,3.098,111,98.1,35.12,32.55,1662
69.1,3.67,4.431,507,153.8,81.3,75.62,1430
138.2,8.44,2.091,348,55.0,76.35,74.99,1467
164.6,12.49,1.59,499,125.5,44.05,43.48,1592
173.7,12.51,2.644,390,129.3,47.93,44.38,1688
60.9,10.59,3.593,266,158.0,70.87,65.82,1426
97.9,7.6,3.029,381,179.7,76.53,71.85,1341
240.5,6.65,1.122,400,104.8,87.39,83.2,1512
156.6,12.29,2.066,471,92.4,49.12,49.62,1640
193.7,4.16,0.787,507,112.1,92.82,83.84,1248
118.6,7.0,3.827,415,122.0,93.75,91.56,1414
171.2,8.94,4.473,594,131.2,92.19,92.51,1832
127.7,12.64,0.706,478,57.8,49.07,48.42,1506
116.4,6.23,2.864,551,92.8,87.98,81.47,1618
138.2,8.68,3.047,226,73.1,79.84,76.42,1363
147.4,4.91,2.475,224,16.6,91.58,92.42,1383
122.9,12.72,2.762,249,113.6,54.16,49.5,1586
109.0,12.0,3.697,292,158.7,60.48,61.6,1564
178.5,12.48,2.677,579,166.7,47.55,43.61,1883
132.3,1.8,4.638,90,98.0,93.3,85.56,1351
98.3,7.82,2.934,324,140.2,76.46,76.27,1375
204.1,2.9,0.823,139,131.1,79.4,79.35,1058
197.5,10.43,4.79,496,48.9,76.03,68.77,1940
228.5,5.36,1.161,67,20.7,86.03,79.17,1269
165.5,11.84,4.03,300,137.1,62.0,62.86,1851
113.1,1.91,2.871,267,58.1,82.25,76.79,1157
224.1,8.19,3.834,101,103.4,96.14,86.67,1583
113.3,2.73,2.81,257,99.1,85.91,79.93,1193
184.6,8.81,0.765,495,149.0,74.19,73.32,1590
96.2,9.5,2.187,126,119.6,75.44,76.2,1201
179.5,7.47,3.293,591,154.0,95.89,88.08,1773
219.8,4.92,3.33,82,137.9,96.84,89.77,1383
162.6,1.45,4.879,209,180.0,87.55,83.44,1483
149.5,10.27,3.228,476,156.9,73.44,72.69,1673
